parcel_id,owner_name_raw,owner_class,is_state,in_cra_list,acres,sliver,zone_code,land_use_code,geometry_file,source_name,source_url,source_date
15014310190000,UNITED STATES OF AMERICA - G.S.A.,UNCLASSIFIED,False,False,0.0,True,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/15014310190000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
15033760200000,UNITED STATES OF AMERICA - BUREAU OF RECLAMATION,UNCLASSIFIED,False,False,2.4,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/15033760200000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
15153770010000,UNITED STATES OF AMERICA - BUREAU OF RECLAMATION,UNCLASSIFIED,False,False,16.3,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/15153770010000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
15092770040000,UNITED STATES OF AMERICA - BUREAU OF RECLAMATION,UNCLASSIFIED,False,False,1.6,False,UNKNOWN,Vacant,readiness/data/geometry/15092770040000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
16031000080000,UNITED STATES OF AMERICA - BUREAU OF RECLAMATION,UNCLASSIFIED,False,False,49.0,False,UNKNOWN,Commercial - Apartment & Condo,readiness/data/geometry/16031000080000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
16032000020000,UNITED STATES OF AMERICA - BUREAU OF RECLAMATION,UNCLASSIFIED,False,False,40.7,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/16032000020000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
16034000010000,UNITED STATES OF AMERICA - BUREAU OF RECLAMATION,UNCLASSIFIED,False,False,4.0,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/16034000010000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
16043760030000,UNITED STATES OF AMERICA - BUREAU OF RECLAMATION,UNCLASSIFIED,False,False,2.5,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/16043760030000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
16044510020000,UNITED STATES OF AMERICA - BUREAU OF RECLAMATION,UNCLASSIFIED,False,False,80.8,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/16044510020000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
16061070010000,THE UNITED STATES OF AMERICA - GENERAL SERVICES ADMISTRATION,UNCLASSIFIED,False,False,2.6,False,UNKNOWN,Commercial - Office Space,readiness/data/geometry/16061070010000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
16061070020000,UNITED STATES OF AMERICA - GENERAL SERVICES ADMIN.,UNCLASSIFIED,False,False,0.3,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/16061070020000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
16101270030000,UNITED STATES (MILITARY RESERV - POSTAL SERVICE FACILITIES,UNCLASSIFIED,False,False,1.8,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/16101270030000.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
16174570394001,UNITED STATES POSTAL SERVICE - USPS FACILITIES SERVICE OFF,UNCLASSIFIED,False,False,1.8,False,UNKNOWN,Tax Exempt - Government,readiness/data/geometry/16174570394001.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
16174570394002,UNITED STATES POSTAL SERVICE - USPS FACILITIES SERVICE OFF,UNCLASSIFIED,False,False,0.5,False,UNKNOWN,Commercial - Office Space,readiness/data/geometry/16174570394002.geojson,cadastre_government_owned_parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/cadastre_government_owned_parcels/FeatureServer/0/query,2026-09-25
